Ecosystem,Namespace,Name,Version,Artifact,Published,Detected
npm,@onereach,step-voice,7.0.32,,2026-08-04T10:39:07.608Z,2026-08-04T10:44:59.499Z
npm,@or-sdk,deployer,1.7.5,,2026-08-04T10:39:07.998Z,2026-08-04T10:45:15.178Z
npm,@or-sdk,identifiers,0.27.6,,2026-08-04T10:39:07.905Z,2026-08-04T10:45:05.342Z
npm,@onereach,types-contacts-api,9.0.8,,2026-08-04T10:39:07.320Z,2026-08-04T10:44:55.797Z
npm,@or-sdk,base,0.44.4,,2026-08-04T10:39:07.434Z,2026-08-04T10:45:32.179Z
npm,@onereach,idw-init-account-resources,1.0.1,,2026-08-04T10:39:07.488Z,2026-08-04T10:44:59.923Z
npm,@or-sdk,transcripts,1.2.5,,2026-08-04T10:39:07.732Z,2026-08-04T10:44:53.956Z
npm,@or-sdk,account-settings,1.3.6,,2026-08-04T10:39:08.124Z,2026-08-04T10:44:55.447Z
npm,@or-sdk,agents,4.21.3,,2026-08-04T10:39:07.216Z,2026-08-04T10:44:47.874Z
npm,@or-sdk,lookup,1.25.1,,2026-08-04T10:39:08.039Z,2026-08-04T10:45:19.803Z
npm,@or-sdk,hitl,0.41.1,,2026-08-04T10:39:07.905Z,2026-08-04T10:44:51.419Z
npm,@or-sdk,users,3.8.1,,2026-08-04T10:39:07.462Z,2026-08-04T10:45:07.265Z
npm,@or-sdk,data-hub-svc,2.3.5,,2026-08-04T10:39:07.580Z,2026-08-04T10:45:25.067Z
npm,@or-sdk,knowledge-models,0.25.5,,2026-08-04T10:39:08.003Z,2026-08-04T10:45:08.438Z
npm,@or-sdk,ccp,10.15.4,,2026-08-04T10:39:08.187Z,2026-08-04T10:45:06.407Z
npm,@or-sdk,adapters,0.3.6,,2026-08-04T10:39:08.000Z,2026-08-04T10:44:48.347Z
npm,@onereach,step-conversation,1.0.41,,2026-08-04T10:39:07.504Z,2026-08-04T10:44:51.498Z
npm,@or-sdk,discovery,1.12.1,,2026-08-04T10:39:07.347Z,2026-08-04T10:44:49.146Z
npm,@or-sdk,flows,2.7.8,,2026-08-04T10:39:07.606Z,2026-08-04T10:45:03.234Z
npm,@or-sdk,invitations,1.4.8,,2026-08-04T10:39:07.917Z,2026-08-04T10:45:03.507Z
npm,@onereach,messengers-infobip-sdk,0.1.1,,2026-08-04T10:39:07.542Z,2026-08-04T10:44:54.395Z
npm,@or-sdk,queue-manager,1.4.6,,2026-08-04T10:39:07.634Z,2026-08-04T10:44:46.769Z
npm,@or-sdk,idw-public,1.6.6,,2026-08-04T10:39:07.332Z,2026-08-04T10:44:49.531Z
npm,@or-sdk,auth,0.38.1,,2026-08-04T10:39:07.330Z,2026-08-04T10:44:49.537Z
