item_type,category,identifier,detail,href
"package","npm","@antv/coord","credential_stealer | versions: 0.5.7, 0.6.7","/ti/packages/npm/@antv/coord"
"package","npm","@antv/d3-color","credential_stealer | versions: 1.1.0, 1.2.0","/ti/packages/npm/@antv/d3-color"
"package","npm","@antv/d3-interpolate","credential_stealer | versions: 1.1.3, 1.2.3","/ti/packages/npm/@antv/d3-interpolate"
"package","npm","@antv/data-samples","credential_stealer | versions: 1.1.1, 1.2.1","/ti/packages/npm/@antv/data-samples"
"package","npm","@antv/data-set","credential_stealer | versions: 0.12.8, 0.13.8","/ti/packages/npm/@antv/data-set"
"package","npm","@antv/data-wizard","credential_stealer | versions: 2.1.4, 2.2.4","/ti/packages/npm/@antv/data-wizard"
"package","npm","@antv/dipper-component","credential_stealer | versions: 0.1.4, 0.2.4","/ti/packages/npm/@antv/dipper-component"
"package","npm","@antv/dipper-hooks","credential_stealer | versions: 0.3.1, 0.4.1","/ti/packages/npm/@antv/dipper-hooks"
"package","npm","@antv/dipper-map","credential_stealer | versions: 1.1.10, 1.2.10","/ti/packages/npm/@antv/dipper-map"
"package","npm","@antv/dom-util","credential_stealer | versions: 2.1.4, 2.2.4","/ti/packages/npm/@antv/dom-util"
"package","npm","@antv/dumi-theme-antv","credential_stealer | versions: 0.10.4, 0.9.4","/ti/packages/npm/@antv/dumi-theme-antv"
"package","npm","@antv/dw-analyzer","credential_stealer | versions: 1.2.5, 1.3.5","/ti/packages/npm/@antv/dw-analyzer"
"package","npm","@antv/dw-random","credential_stealer | versions: 1.2.7, 1.3.7","/ti/packages/npm/@antv/dw-random"
"package","npm","@antv/dw-transform","credential_stealer | versions: 1.2.7, 1.3.7","/ti/packages/npm/@antv/dw-transform"
"package","npm","@antv/dw-util","credential_stealer | versions: 1.2.4, 1.3.4","/ti/packages/npm/@antv/dw-util"
"package","npm","@antv/event-emitter","credential_stealer | versions: 0.2.3, 0.3.3","/ti/packages/npm/@antv/event-emitter"
"package","npm","@antv/expr","credential_stealer | versions: 1.1.2, 1.2.2","/ti/packages/npm/@antv/expr"
"package","npm","@antv/f2","credential_stealer | versions: 5.15.0, 5.16.0","/ti/packages/npm/@antv/f2"
